,rent_type_合租,rent_type_整租,rent_type_nan,floor,独立卫生间,电视,is_broker,阳台,area,沙发,facilities_null,热水器,衣柜,price,独立阳台,床,crawl_time,独卫,toilet_num,room_num,floor_total,decoration
186,1,0,0,3,0,1,1,0,25,1,0,1,1,1200,1,1,127,1,2,4,6,4
187,1,0,0,1,0,1,1,0,30,1,0,1,1,3000,1,1,127,1,1,3,6,4
188,0,1,0,3,0,1,1,0,60,1,0,1,1,2300,1,1,127,1,1,1,6,4
189,0,1,0,1,0,1,1,0,55,1,0,1,1,3100,1,1,147,1,1,1,6,4
190,0,1,0,1,0,1,1,0,85,0,0,0,0,2000,0,0,127,0,1,2,27,2
191,0,1,0,3,0,1,1,0,60,1,0,1,1,5200,1,1,127,1,1,1,6,4
192,0,1,0,3,0,1,1,0,75,1,0,1,1,4600,1,1,128,1,1,3,13,4
193,0,1,0,2,0,1,1,0,58,1,0,1,1,3900,1,1,127,1,1,1,21,3
194,0,1,0,2,0,1,1,0,65,1,0,1,1,8500,0,1,127,0,1,1,28,3
195,0,1,0,2,0,1,1,0,88,0,0,1,0,2200,0,1,127,0,1,2,17,3
196,0,1,0,2,0,1,1,0,95,0,0,1,0,12000,0,1,127,0,1,2,19,3
197,0,1,0,2,0,1,1,0,160,0,0,1,0,7200,0,1,127,0,2,3,18,3
198,1,0,0,2,0,1,1,0,25,1,0,1,1,2200,1,1,127,1,1,3,25,3
199,0,1,0,2,0,1,1,0,80,0,0,1,0,4800,0,1,127,0,1,2,6,3
200,1,0,0,2,0,1,0,1,20,1,0,1,1,1400,0,1,239,0,2,3,6,3
201,0,1,0,1,1,1,1,1,81,1,0,1,1,2800,0,1,277,0,1,2,11,3
202,1,0,0,2,0,1,1,0,28,1,0,1,1,2300,1,1,127,1,1,3,6,3
203,0,1,0,3,0,1,1,0,75,0,0,1,0,7200,0,1,281,0,1,3,16,4
204,0,1,0,3,0,1,1,0,60,0,0,1,0,5400,0,1,127,0,1,1,22,5
205,0,1,0,1,0,1,1,0,50,1,0,1,1,3500,1,1,127,1,1,1,6,4
206,0,1,0,1,0,1,1,0,196,1,0,1,1,20000,1,1,127,1,2,3,25,4
207,0,1,0,1,0,1,1,0,85,0,0,1,0,3100,0,1,127,0,1,2,18,4
208,0,1,0,1,0,1,1,0,55,1,0,1,1,5700,1,1,128,1,1,2,6,4
209,0,1,0,2,0,1,1,0,98,1,0,1,1,2500,1,1,127,1,1,3,34,3
210,0,1,0,2,0,1,1,0,65,1,0,1,1,5600,1,1,127,1,1,2,6,3
211,0,1,0,1,0,1,1,0,54,0,0,1,0,6500,1,1,127,1,1,1,22,2
212,0,1,0,3,0,1,1,0,56,0,0,1,0,2800,0,1,127,0,1,1,21,2
213,0,1,0,3,0,1,1,0,140,1,0,1,1,5500,1,1,127,1,2,3,15,4
214,0,1,0,2,0,1,1,0,100,1,0,1,1,5800,1,1,128,1,1,2,21,3
215,0,1,0,1,0,1,1,0,60,1,0,1,1,4800,1,1,127,1,1,2,25,2
216,1,0,0,2,1,1,0,1,20,1,0,1,1,1500,0,1,297,0,2,3,6,3
217,0,1,0,2,1,0,1,1,57,0,0,0,0,4300,0,0,294,0,1,1,6,3
218,0,1,0,3,1,1,1,1,45,1,0,1,1,3900,0,1,316,0,1,1,12,4
219,0,1,0,2,1,1,1,1,75,1,0,1,1,3900,0,1,318,0,1,2,6,3
220,0,1,0,3,1,1,1,0,129,1,0,1,1,14000,0,1,319,0,2,3,18,4
221,0,1,0,1,1,1,0,1,80,1,0,1,1,5800,0,1,319,0,1,2,16,4
222,0,1,0,2,1,1,1,1,42,1,0,1,1,1800,0,1,321,0,1,1,16,3
223,1,0,0,1,0,1,1,1,12,1,0,1,1,1650,0,1,323,0,1,2,20,4
224,1,0,0,3,1,1,1,1,25,1,0,1,1,3600,0,1,317,0,2,3,13,4
225,0,1,0,2,1,1,1,1,60,1,0,1,1,5200,0,1,322,0,1,2,6,3
226,0,1,0,3,1,1,1,1,70,1,0,1,1,4888,0,1,317,0,1,2,6,4
227,0,1,0,2,1,1,1,1,85,1,0,1,1,8500,0,1,320,0,1,3,12,3
228,1,0,0,2,1,1,0,1,20,1,0,1,1,900,0,1,320,0,1,3,6,3
229,0,1,0,1,1,1,1,1,32,1,0,1,1,1750,0,1,322,0,1,1,29,4
230,1,0,0,2,0,0,1,0,10,0,0,1,1,2130,0,1,102,0,2,4,24,3
231,1,0,0,1,0,0,1,0,20,0,0,1,1,1800,1,1,-14,0,1,1,22,4
232,1,0,0,2,0,1,1,0,15,1,0,1,1,1400,1,1,85,1,2,3,6,3
233,0,1,0,1,1,0,0,1,40,1,0,1,1,1600,0,1,320,0,1,1,30,4
234,0,1,0,1,1,1,0,1,20,1,0,1,1,2600,0,1,320,0,1,3,7,4
235,0,1,0,2,1,1,1,1,65,1,0,1,1,4800,0,1,296,0,1,2,6,3
236,0,1,0,3,0,0,1,0,140,0,1,0,0,8000,0,0,85,0,2,3,6,4
237,1,0,0,2,1,1,1,1,22,1,0,1,1,2000,0,1,322,0,1,3,18,3
238,0,1,0,2,1,1,1,1,52,1,0,1,1,4600,0,1,322,0,1,1,6,3
239,0,1,0,2,1,1,0,1,82,1,0,1,1,2300,0,1,319,0,1,2,6,3
240,0,1,0,1,0,1,0,1,125,1,0,1,1,16000,0,1,316,0,2,2,6,4
241,0,1,0,2,1,1,1,1,75,1,0,1,1,5200,0,1,319,0,1,2,6,3
242,1,0,0,1,1,1,1,1,30,1,0,1,1,2100,0,1,321,0,2,3,6,4
243,1,0,0,2,1,1,1,1,22,1,0,1,1,2000,0,1,320,0,2,3,22,3
244,1,0,0,2,0,0,0,0,18,0,0,1,1,900,0,1,320,0,1,3,6,3
