agency_name,broker_id,score,property_fee,house_count,building_count,floor,price,rent_type,pay_type,direction,room_type,is_broker,floor_total,complete_time,hall_num,room_num,area,toilet_num, 公交, 医院, 地铁, 学校, 旅游景点, 美食, 购物, 酒店, 银行,distance1000,distance1500,distance2000,distance500,crawl_time,decoration,district,zone,facilities
鸿盛伟业,fang_1575755,27.17,0.58,849,12,低,1900,合租,付十一,南,主,1,12,1993,1,,20,1,20,20,5,20,20,20,20,20,20,109,111,54,82,2018/1/4 21:00,精,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
北京链家房地产经纪有限公司,fang_840262,33.7,0.6,488,7,高,4500,整租,押二付二,南,,1,12,1992,,1,54,1,20,20,14,20,20,20,20,20,20,79,62,82,102,2018/1/5 2:00,中,海淀,安宁庄,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
链家地产,fang_2122446,35.58,0.6,216,3,低,8500,整租,无押付半年,东南,,1,21,2001,,2,98,1,20,20,5,20,20,20,20,20,20,118,111,28,71,2018/1/5 7:00,中,海淀,军博,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
我爱我家,fang_2066185,50.76,0.65,294,5,中,16000,整租,付七,南,,1,20,1991,,4,180,2,20,20,7,20,20,20,20,20,20,101,146,34,71,2018/1/5 12:00,豪,海淀,人民大学,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
中润置家,fang_2236796,42.5,0.7,360,6,中,5000,整租,押二付十二,南北,,1,6,2007,,2,70,1,20,20,5,20,20,20,20,20,20,112,106,31,103,2018/1/5 17:00,精,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
中润置家,fang_2233716,31.59,0.7,834,14,中,1200,合租,押一付四,南,次,1,6,1983,,3,15,1,20,20,1,20,20,20,20,20,20,106,94,122,73,2018/1/5 22:00,精,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
永晟,fang_1734459,14.41,0.72,269,4,,4600,整租,(押一付一) (快速贷款),南北,,1,5,2000,,2,65,1,20,20,10,20,20,20,20,20,20,66,125,87,86,2018/1/6 3:00,精,海淀,五棵松,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
众意地产,fang_2235226,69.35,0.8,331,14,低,4900,整租,押一付十二,南北,,1,18,1974,1,1,45,1,20,20,13,20,20,20,20,20,20,110,80,100,77,2018/1/6 8:00,中,海淀,北大清华,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
中天置地,fang_2229380,69.25,0.8,1371,14,中,2300,合租,"(押一付三 - 租房贷) 分期付,0压力 月供:835.67 元 利息:69 我要申请",北,次,1,6,1952,1,2,18,1,20,20,7,20,20,20,20,20,20,86,75,101,85,2018/1/6 13:00,中,海淀,公主坟,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
蛋壳公寓,fang_2248662,42.31,0.8,1417,14,中,1750,合租,押零付三,南,次,1,23,1979,1,3,17,1,20,20,9,20,20,20,20,20,20,175,61,22,71,2018/1/6 18:00,精,海淀,安宁庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台
蛋壳公寓,fang_2248713,45.6,0.8,900,14,中,1990,合租,"押零付半年                 ",东,主,1,24,1988,1,2,22,1,20,13,4,20,17,20,20,20,20,58,86,73,41,2018/1/6 23:00,中,海淀,大钟寺,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
中金地产,fang_1942445,40.99,0.8,108,1,高,5700,整租,半年付不押,南北,,1,10,2000,1,2,77,1,20,8,,20,13,20,20,13,20,52,95,142,34,2018/1/7 4:00,中,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
,,50.65,0.8,853,17,中,4700,整租,押零付二,南,,0,28,1957,1,2,67,1,20,,2,,,,20,,20,70,96,36,9,2018/1/7 9:00,豪,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
我爱我家,fang_2138329,36.53,0.8,305,5,低,7000,整租,押零付半年,南北,,1,9,2004,1,2,80,1,20,20,8,20,20,20,20,20,20,134,63,61,72,2018/1/7 14:00,中,海淀,定慧寺,空调|热水器|床|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
我爱我家,fang_2226944,30.52,0.86,1844,31,中,5500,整租,,南,,1,6,2001,1,1,48,1,20,20,8,20,17,20,20,20,20,146,25,81,74,2018/1/7 19:00,中,海淀,北太平庄,空调|冰箱|暖气|可做饭|独立卫生间
铭杰易城,fang_2146206,35.42,0.96,388,7,低,1500,合租,押一付年,南,次,1,23,2004,1,1,19,1,20,20,,20,20,20,20,20,20,110,112,58,60,2018/1/8 0:00,精,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
北京链家房地产经纪有限公司,fang_2138862,30.63,0.96,2065,26,中,2860,合租,押零付六,南,主,1,6,2004,1,3,14,1,20,20,7,20,20,20,20,20,20,95,182,102,44,2018/1/8 5:00,中,海淀,上地,
