,direction_东,direction_东北,direction_东南,direction_东西,direction_北,direction_南,direction_南北,direction_朝东,direction_朝东北,direction_朝东南,direction_朝北,direction_朝南,direction_朝西,direction_朝西北,direction_朝西南,direction_西,direction_西北,direction_西南,direction_nan,district_海淀,district_nan,rent_type_合租,rent_type_整租,rent_type_nan,room_type_主,room_type_次,room_type_隔断,room_type_nan,zone_万寿路,zone_万柳,zone_上地,zone_世纪城,zone_二里庄,zone_五棵松,zone_五道口,zone_交通大学,zone_人民大学,zone_公主坟,zone_军博,zone_北大清华,zone_北太平庄,zone_北洼路,zone_北航,zone_厂洼,zone_双榆树,zone_四季青,zone_大钟寺,zone_安宁庄,zone_定慧寺,zone_明光桥,zone_清河,zone_温泉,zone_牡丹园,zone_甘家口,zone_田村,zone_白石桥,zone_航天桥,zone_花园桥,zone_苏州桥,zone_苏州街,zone_蓟门桥,zone_西三旗,zone_西二旗,zone_西北旺,zone_车道沟,zone_马甸,zone_马连洼,zone_魏公村,zone_nan,pay_type_不限,pay_type_其他,pay_type_年付,pay_type_押一付一,pay_type_押一付三,pay_type_押一付二,pay_type_押一付十一,pay_type_押一付半年,pay_type_押一付四,pay_type_押一付年,pay_type_押三付一,pay_type_押三付三,pay_type_押三付二,pay_type_押三付半年,pay_type_押三付四,pay_type_押三付年,pay_type_押二付一,pay_type_押二付三,pay_type_押二付二,pay_type_押二付五,pay_type_押二付半年,pay_type_押二付四,pay_type_押二付年,pay_type_押零付一,pay_type_押零付三,pay_type_押零付二,pay_type_押零付十一,pay_type_押零付半年,pay_type_押零付年,pay_type_面议,pay_type_nan,微波炉, 美食,decoration, 旅游景点,distance1000,floor,床,热水器, 购物,complete_time,is_broker,building_count,score,独立卫生间,冰箱,洗衣机,Unnamed: 0,可做饭, 地铁,facilities_null, 银行,宽带网,toilet_num, 酒店,price,crawl_time,沙发,暖气, 学校,property_fee,衣柜, 医院,hall_num,house_count,distance500,room_num,distance2000,distance1500,电视,阳台,area, 公交,空调,floor_total,one_room_area,one_area_price
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,3,20.0,79.0,2,1,1,20.0,58.0,1.0,4.0,28.18,1,1,1,135,1,3.0,0,20.0,1,1.0,20.0,1400.0,79,1,1,20.0,6.5,1,19.0,1.0,1234.0,79.0,3.0,45.0,73.0,1,1,16.0,20.0,1,12.0,5,88
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,4,20.0,109.0,2,1,1,20.0,48.0,1.0,6.0,31.04,1,1,1,142,1,9.0,0,20.0,1,1.0,20.0,1500.0,77,1,1,20.0,0.5,1,20.0,1.0,330.0,53.0,2.0,43.0,112.0,1,1,18.0,20.0,1,20.0,9,83
12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.0,3,20.0,112.0,2,1,1,20.0,44.0,1.0,6.0,22.17,1,1,1,145,1,10.0,0,20.0,1,1.0,20.0,1550.0,77,1,1,20.0,0.79,1,20.0,1.0,234.0,22.0,3.0,78.0,100.0,1,1,18.0,20.0,1,6.0,6,86
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.0,3,20.0,93.0,1,1,1,20.0,40.0,1.0,11.0,10.17,0,1,1,180,1,11.0,0,20.0,1,1.0,20.0,800.0,70,1,1,20.0,1.65,1,20.0,1.0,1549.0,56.0,3.0,76.0,98.0,1,1,15.0,20.0,1,6.0,5,53
14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,3,6.0,28.0,3,1,0,20.0,46.0,1.0,6.0,26.71,0,0,0,186,0,0.0,0,20.0,0,1.0,20.0,1650.0,68,0,0,20.0,2.88,0,14.0,1.0,622.0,5.0,3.0,134.0,32.0,0,0,22.0,20.0,0,6.0,7,75
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.0,4,20.0,62.0,2,1,1,20.0,56.0,1.0,15.0,47.08,1,1,1,197,1,6.0,0,20.0,1,1.0,20.0,1100.0,66,1,1,20.0,3.5,1,20.0,1.0,2473.0,120.0,2.0,61.0,73.0,1,1,18.0,20.0,1,15.0,9,61
16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0,5,14.0,195.0,1,1,1,20.0,49.0,1.0,4.0,20.42,0,1,1,69,1,3.0,0,20.0,1,1.0,20.0,3999.0,93,1,1,20.0,1.6,1,20.0,1.0,572.0,99.0,1.0,24.0,108.0,1,0,18.0,20.0,1,12.0,18,222
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,3,10.0,78.0,2,1,0,20.0,41.0,1.0,5.0,39.9,0,0,0,161,0,1.0,0,10.0,0,1.0,20.0,1700.0,73,0,0,20.0,1.15,0,5.0,1.0,496.0,23.0,3.0,89.0,42.0,0,0,18.0,20.0,0,18.0,6,94
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.0,3,20.0,103.0,3,1,1,20.0,25.0,1.0,24.0,13.64,1,1,1,147,1,5.0,0,20.0,1,1.0,20.0,2400.0,76,1,1,20.0,0.6,1,20.0,1.0,895.0,48.0,3.0,33.0,143.0,1,1,18.0,20.0,1,6.0,6,133
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,2,20.0,123.0,3,1,1,20.0,56.0,0.0,8.0,38.0,1,1,1,149,1,13.0,0,20.0,1,1.0,20.0,1500.0,76,1,1,20.0,0.93,1,20.0,1.0,1237.0,77.0,2.0,31.0,82.0,1,1,18.0,20.0,1,10.0,9,83
